二级分类,报告期,总资产(亿元),货币资产(亿元),净资产(亿元),总债务(亿元),带息债务(亿元),净债务(亿元),经营活动现金流(亿元),投资活动现金流(亿元),筹资活动现金流(亿元),主营业务收入(亿元),主营业务利润(亿元),EBITDA(亿元),净利润(亿元),主营业务利润率(%),主营业务收入增长率(%),总资产报酬率(%),净资产回报率(%),EBITDA/营业总收入,经营性现金流/EBITDA,流动比率,速动比率,存货周转率,资产负债率,短期债务/总债务,带息债务/总投入资本,货币资金/短期债务,货币资金/总债务,获息倍数,EBITDA/带息债务,123
专业技术服务,2017-12-31,39.6204311467,4.700345528425,15.684089329375,23.936341817325,13.40250799835,8.702162469925,2.372145579875,-5.26299356505,2.557926942275,16.5228564437,1.71826648955,3.228411291025,1.41132353205,18.289099999999998,27.172625,8.37405,10.810375,37.61337130086241,1.218587924948283,0.8587000000000001,0.6455250000000001,77.74253333333333,50.711625,86.410725,34.79745,0.3069032070837807,0.25217860265666237,13.5005,87.33163816367004,4
个人电子,2003-12-31,99.14541827810001,10.749626544475001,40.23626408347499,51.358433547525,32.485467232825,21.735840688350002,-0.28985715869999984,-2.41001393855,3.6556848186250006,112.58243442275,3.86921729215,6.242638944299999,3.74368048705,4.02935,12.861866666666666,4.6787,10.9138,6.736474694790432,-0.19974515022301467,1.5871499999999998,1.091425,4.8607,58.012175,92.91007499999999,52.10065,0.47603077255462095,0.2604469859985856,13.216825,31.204982899774084,4
个人电子,2004-12-31,121.29577273985,22.204203696275002,38.702914583375005,71.804204568525,37.297067318799996,15.092863622525,-1.878791005175,-0.127670232,13.595105694325001,135.26606914215,-9.138790539800002,-6.296614235850001,-9.134474798125002,-9.56255,22.474,-2.4861250000000004,-2.2571499999999993,-6.478425400419244,0.20474372295698617,1.493525,1.008125,5.3194,62.055049999999994,90.81717499999999,55.499300000000005,0.40327346252933294,0.2913642891429916,-40.1391,-11.516918857225882,4
个人电子,2005-12-31,119.211829621125,18.2238930853,37.764505411,73.75151197135,39.371980446125,21.148087360825,-0.9817381751250003,-3.1227558256999997,-0.044535300100000064,171.001700679225,-3.4572782216,-0.10853714557500016,-4.1034376382249995,-2.08105,8.344750000000001,-0.6291749999999996,-13.4872,-3.4452885420657458,1.3962537183898716,1.350275,0.9637249999999999,4.930675,65.018625,99.375425,57.15922499999999,0.3491217172938955,0.25562310273850586,3.4944250000000006,8.85389990345287,4
个人电子,2006-12-31,100.15442419581667,15.086536981416666,25.077840136099997,60.42711324075,29.513974625699998,14.42743764428333,3.5645444686333327,-1.6778054027,-0.5715685362833333,145.82824859733333,-6.25897303005,-2.832271499133333,-7.159915932783334,-6.886450000000001,7.195179999999999,-3.858050000000001,-201.41593333333333,-4.040499912593024,-1.6815574599171983,1.3334333333333335,0.9309833333333333,4.3571,63.22626666666665,95.47183333333334,60.349266666666665,0.3444346228384696,0.24446591857999678,-0.21986666666666674,4.236966888795608,6
个人电子,2007-12-31,74.41222930156002,9.795661270939998,16.930775127979995,45.311302057249996,22.168636210539997,12.3729749396,-1.72393525532,-2.9047362489500004,3.7396772293400007,91.90928243299001,1.4484802981499996,4.411625752000001,1.6648558797500002,7.87748,24.753916666666665,11.09205,19.25157777777778,13.491813546324618,-0.03820584913624725,1.25529,0.8418300000000001,4.161689999999999,61.98788999999999,95.29154,49.65806,0.3947066400331709,0.26524741427668863,19.136900000000004,80.82764889077055,10
个人电子,2008-12-31,91.91740174997001,18.518933689389996,18.41710099972,57.67765962653,33.30001471068,14.781081021290001,8.42986315589,-5.18663780062,1.11165006144,103.23671996825999,1.55388178878,4.33391952287,1.55722676585,6.98044,31.18537,11.35276,17.916811111111112,12.440687820777569,1.2000340332626702,1.31889,0.8734399999999999,4.424809999999999,59.039699999999996,93.04214999999999,50.162639999999996,0.45439166722228236,0.34485317012315486,11.861790000000001,53.615036109647974,10
个人电子,2009-12-31,107.0776976113,24.267774065618177,20.46650091878182,70.3650950466909,37.71002543543636,13.442251369818184,-3.1353546550090923,-3.357963361309091,12.7726263656,106.96921784907276,2.455014914145455,5.376857821990909,2.5061417065727274,8.580018181818183,15.731509999999997,11.831145454545453,31.29633636363636,14.19416515517849,0.09043444259994118,1.8685636363636364,1.4560636363636363,4.962336363636363,53.01900909090909,87.35840909090909,42.738627272727264,0.9630941941650328,0.7691557585747735,207.66238999999996,73.1431035841515,11
个人电子,2010-12-31,148.78099587238182,48.24288082150001,29.528069562727275,96.9453767512818,59.14568336674543,10.902802545245454,-0.32808859446363625,-7.917744251081819,24.15244651518182,134.17993508687275,0.9100350285181821,5.892494331109091,1.9827613480727273,8.259663636363637,20.757018181818186,7.472536363636364,9.28959090909091,12.37233029797192,0.1802020678396402,3.828272727272727,3.2869181818181814,4.9028,43.442699999999995,87.85349090909091,36.44179090909091,2.6942535286900386,2.4153875456030502,11.963985714285712,5720.74346607278,11
个人电子,2011-12-31,185.08090542954542,46.27050804430908,33.78350566530909,125.93311832542732,76.52562376380908,30.255115719499994,-1.2940459193181821,-18.043223365736363,16.296150852845457,162.5284777301727,2.262818112309091,8.451549215781819,3.0977629158090907,8.074990909090907,16.69989090909091,6.507545454545454,13.51110909090909,12.446319487722603,-0.06736868702647615,2.3254272727272727,1.8823636363636362,4.734272727272728,48.10191818181818,84.57158181818183,40.44109090909091,1.3023791866867371,1.0193999683011619,51.73615,77.4025878930314,11
个人电子,2012-12-31,197.30702715705456,41.00777621696364,35.38835920174546,135.94861571998183,77.81153358442725,36.80375736746364,5.733495015181818,-7.498675995109091,1.0836734013727274,172.9461785574,0.6439561304636364,9.235008360418181,2.652618095418182,-0.432609090909091,16.423054545454548,4.303736363636364,4.683836363636363,7.401492827316363,0.8022345589761631,2.1303454545454543,1.6641181818181818,4.437309090909091,50.16413636363636,86.41038181818182,41.13163636363636,1.0775741695199479,0.8555473107283317,3.065585714285714,70.98208593918012,11
个人电子,2013-12-31,213.6111118086833,43.49784109263334,37.118663375316665,148.50977015435,88.95097842116668,45.45313732853333,7.845545403825,-12.29120741611667,9.470895038700002,188.27855431624994,2.1461032809083336,12.962693149136358,4.373455818525,0.24185833333333306,22.2317,3.6135916666666668,4.522408333333332,7.573983220670209,0.14370067248811402,1.8546083333333332,1.4431166666666666,4.2831166666666665,55.706958333333326,80.68015833333332,49.17818333333333,0.8522071977535187,0.6239421977412305,1.7801874999999998,311.21342245001483,12
